sid,station_name,lat,lon,elev,begints,rw_name,rw_heading,faa_id,real_name
PACD,Cold Bay,55.22067,-162.73228999999995,24.057560000000002,1942-03-04 11:00:00-05,Runway 8/26,95.0,CDB,Cold Bay Airport
PACV,CORDOVA/MILE 13,60.48889000000001,-145.45111,13.0,1942-06-11 17:00:00-05,Runway 9/27,114.0,CDV,Merle K (Mudhole) Smith Airport
PACV,CORDOVA/MILE 13,60.48889000000001,-145.45111,13.0,1942-06-11 17:00:00-05,Runway 16/34,181.0,CDV,Merle K (Mudhole) Smith Airport
PASC,DEADHORSE (ASOS),70.19475,-148.46517,17.0,1972-12-31 19:00:00-06,Runway 6/24,75.0,SCC,Deadhorse Airport
PADE,DEERING AIRPORT (ASOS),66.06956,-162.76637,4.0,1984-05-01 14:00:00-05,Runway 3/21,38.0,DEE,Deering Airport
PADE,DEERING AIRPORT (ASOS),66.06956,-162.76637,4.0,1984-05-01 14:00:00-05,Runway 12/30,126.0,DEE,Deering Airport
PADL,DILLINGHAM (AMOS),59.044669999999996,-158.5055,29.0,1972-12-31 18:00:00-06,Runway 1/19,26.0,DLG,Dillingham Airport
PADU,DUTCH HARBOR,53.90014,-166.5435,4.0,1946-01-01 05:00:00-06,Runway 13/31,136.0,DUT,Unalaska Airport
PAEG,EAGLE AIRPORT (ASOS),64.77808,-141.14961,77.0,1981-10-01 12:00:00-05,Runway 7/25,92.0,EAA,Eagle Airport
PAII,EGEGIK(AWOS),58.18528000000001,-157.38556,119.0,1992-12-31 18:00:00-06,Runway 12/30,140.0,EII,Egegik Airport
PAII,EGEGIK(AWOS),58.18528000000001,-157.38556,119.0,1992-12-31 18:00:00-06,Runway 3/21,50.0,EII,Egegik Airport
PAEI,EIELSON AFB,64.66566999999999,-147.1015,167.0,1944-11-11 05:00:00-05,Runway 14/32,159.0,EIL,Eielson Air Force Base
PAEL,ELFIN COVE SEAPLANE,58.19518000000001,-136.34739,9.02062,1974-12-18 18:00:00-06,Runway NW/SE,,ELV,Elfin Cove Seaplane Base
PFEL,Elim,64.61497,-162.27053,1.0,2012-09-19 22:58:00-05,Runway 1/19,29.0,ELI,Elim Airport
PAED,ELMENDORF AFB,61.25135,-149.80651,65.0,1941-03-10 04:00:00-06,Runway 6/24,80.0,EDF,Elmendorf Air Force Base
PAED,ELMENDORF AFB,61.25135,-149.80651,65.0,1941-03-10 04:00:00-06,Runway 16/34,180.0,EDF,Elmendorf Air Force Base
PAEM,EMMONAK,62.78614,-164.49075,3.0,1944-04-12 06:00:00-05,Runway 16/34,177.0,ENM,Emmonak Airport
PAZK,EUREKA,61.937,-147.16899999999995,1002.0,1994-12-31 18:00:00-06,,,,
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,1946-01-01 04:00:00-06,Runway 2L/20R,38.0,FAI,Fairbanks International Airport
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,1946-01-01 04:00:00-06,Runway 2R/20L,38.0,FAI,Fairbanks International Airport
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,1946-01-01 04:00:00-06,Runway 2/20,38.0,FAI,Fairbanks International Airport
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,1946-01-01 04:00:00-06,Runway 2W/20W,38.0,FAI,Fairbanks International Airport
PAKF,False Pass Airport,54.8474,-163.4103,6.0,1972-12-31 18:00:00-06,Runway 14/32,,KFP,False Pass Airport
PAFL,Farewell,62.5316,-153.6111,395.0,2015-04-04 21:47:00-05,Runway 13/31,,TNW,Tin Creek Airport
PAFK,FAREWELL LAKE SEAPLANE,62.5425,-153.6225,321.0,1948-07-01 05:00:00-05,Runway NW/SE,,FKK,Farewell Lake Seaplane Base
PFYU,FORT YUKON (AWOS),66.56667,-145.26667,131.0,1948-07-01 07:00:00-05,Runway 4/22,60.0,FYU,Fort Yukon Airport
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,1945-10-15 04:00:00-06,Runway 1/19,30.0,BIG,Allen Army Airfield
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,1945-10-15 04:00:00-06,Runway 10/28,125.0,BIG,Allen Army Airfield
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,1945-10-15 04:00:00-06,Runway 7/25,92.0,BIG,Allen Army Airfield
PAFR,Ft. Richardson,61.2664,-149.6531,121.0,1973-12-01 10:00:00-06,Runway 17/35,191.0,FRN,Bryant Army Airfield Heliport
PAGB,GALBRAITH LAKE,68.47967,-149.48991999999996,814.0,1975-01-08 17:00:00-06,Runway 14/32,152.0,GBH,Galbraith Lake Airport
PAGA,GALENA AIRPORT,64.73618,-156.93742,46.0,1942-09-17 17:00:00-05,Runway 8/26,89.0,GAL,Edward G. Pitka Sr. Airport
PAGA,GALENA AIRPORT,64.73618,-156.93742,46.0,1942-09-17 17:00:00-05,Runway 6/24,90.0,GAL,Edward G. Pitka Sr. Airport
PAGM,GAMBELL (AWOS),63.766769999999994,-171.73282,8.0,1948-07-01 06:00:00-05,Runway 16/34,172.0,GAM,Gambell Airport
PAGL,GOLOVIN,64.54333000000001,-163.03943999999996,8.0,1998-07-01 08:46:00-05,Runway 3/21,36.0,GLV,Golovin Airport
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,481.0,1945-01-01 05:00:00-05,Runway 15L/33R,171.0,GKN,Gulkana Airport
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,481.0,1945-01-01 05:00:00-05,Runway 15R/33L,171.0,GKN,Gulkana Airport
PAGS,GUSTAVUS,58.42528000000001,-135.70741999999998,9.0,1948-12-31 18:00:00-06,Runway 11/29,135.0,GST,Gustavus Airport
PAGS,GUSTAVUS,58.42528000000001,-135.70741999999998,9.0,1948-12-31 18:00:00-06,Runway 2/20,41.0,GST,Gustavus Airport
PAHN,Haines,59.24286,-135.51166,7.0,1948-07-01 04:00:00-05,Runway 8/26,110.0,HNS,Haines Airport
PAHZ,HAYES RIVER,61.983000000000004,-152.086,305.0,1972-12-31 18:00:00-06,,,,
PAHV,HEALY RIVER AIRPORT,63.86611,-148.96889,396.0,1976-12-21 12:00:00-06,Runway 15/33,,HRR,Healy River Airport
PAHC,HOLY CROSS,62.18833000000001,-159.77492,21.0,2010-02-23 00:56:00-06,Runway 1/19,31.0,HCA,Holy Cross Airport
PAHO,HOMER MUNICIPAL (ASOS),59.645559999999996,-151.47658,22.0,1948-07-01 11:00:00-05,Runway 4/22,55.0,HOM,Homer Airport
PAHO,HOMER MUNICIPAL (ASOS),59.645559999999996,-151.47658,22.0,1948-07-01 11:00:00-05,Runway 6W/24W,,HOM,Homer Airport
PAOH,HOONAH SEAPLANE,58.11221999999999,-135.45193999999998,0.0,1978-11-24 16:00:00-06,Runway 6/24,78.0,HNH,Hoonah Airport
PAHP,HOOPER BAY (AWOS),61.52386,-166.14664,5.0,1984-11-05 13:00:00-06,Runway 13/31,149.0,HPB,Hooper Bay Airport
PAHL,Huslia,65.69785999999999,-156.35138999999995,67.0,1999-01-31 22:20:00-06,Runway 3/21,51.0,HLA,Huslia Airport
PAHS,HUSLIA,65.7,-156.38333,55.0,1994-01-02 20:00:00-06,,,,
PAHY,Hydaburg Seaplane Base,55.206109999999995,-132.82806000000002,0.14087102,1978-12-05 12:00:00-06,Runway E/W,,HYG,Hydaburg Seaplane Base
PAIG,IGIUGIG,59.324040000000004,-155.90178999999995,29.0,2010-02-23 00:56:00-06,Runway 5/23,72.0,IGG,Igiugig Airport
PAIL,ILIAMNA ARPT (ASOS),59.74916999999999,-154.90917,49.0,1948-07-01 04:00:00-05,Runway 8/26,93.0,ILI,Iliamna Airport
PAIL,ILIAMNA ARPT (ASOS),59.74916999999999,-154.90917,49.0,1948-07-01 04:00:00-05,Runway 18/36,189.0,ILI,Iliamna Airport
PAIL,ILIAMNA ARPT (ASOS),59.74916999999999,-154.90917,49.0,1948-07-01 04:00:00-05,Runway E/W,277.0,ILI,Iliamna Airport
PAIL,ILIAMNA ARPT (ASOS),59.74916999999999,-154.90917,49.0,1948-07-01 04:00:00-05,Runway N/S,198.0,ILI,Iliamna Airport
